image,title,stock,category,description
https://img.orami.co.id/media/catalog/product/C/L/CLKD-PIEN-001F-0-3M-BrownSugar-1.jpg,Pienter! Organic Long Sleeved Onesie Brown Sugar,In Stock,cat1,"Jadikan penampilan si kecil semakin menggemaskan dengan memakaikannya Pienter! Organic Long-Sleeved Onesie Brown Sugar. Pakaian anak berupa jumper lengan panjang ini terbuat dari bahan katun organik sehingga sangat aman dan nyaman saat dikenakan. Buah hati Anda pun akan beraktivitas dengan lebih ceria!. Model lucu dengan warna cerah yang menarik. Produk lokal buatan Indonesia. Soft fabric, bahan halus dan lembut"
https://img.orami.co.id/media/catalog/product/C/L/CLKD-PIEN-002C-0-3M-FirecrackerOrange.jpg,Pienter! Organic Short Sleeved Onesie Firecracker Org,In Stock,cat2,"Jadikan penampilan si kecil semakin menggemaskan dengan memakaikannya Pienter! Organic Short-Sleeved Onesie Firecracker Orange. Pakaian anak berupa jumper lengan pendek ini terbuat dari bahan katun organik sehingga sangat aman dan nyaman saat dikenakan. Buah hati Anda pun akan beraktivitas dengan lebih ceria!. Model lucu dengan warna cerah yang menarik. Produk lokal buatan Indonesia. Soft fabric, bahan halus dan lembut"
https://img.orami.co.id/media/catalog/product/D/R/DRES-TAKO-012A-LPINK-1.jpg,Takoyakids Kira Kimono Dress Sets Baby Pink,In Stock,cat2,"Yuk, lengkapi koleksi pakaian buah hati Anda dengan mendapatkan Takoyakids Kira Kimono Dress Sets Baby Pink. Pakaian anak berupa kimono dress dan celana bloomers ini terbuat dari bahan Single Jersey berkualitas tinggi sehingga nyaman dikenakan oleh si kecil.. Detail tali pita di bagian kiri. Cocok dikenakan saat bepergian atau bermain. Ideal untuk anak perempuan"
https://img.orami.co.id/media/catalog/product/D/R/DRES-TAKO-012A-MGREY-1.jpg,Takoyakids Kira Kimono Dress Sets Misty Gray,In Stock,cat2,"Yuk, lengkapi koleksi pakaian buah hati Anda dengan mendapatkan Takoyakids Kira Kimono Dress Sets Misty Gray. Pakaian anak berupa kimono dress dan celana bloomers ini terbuat dari bahan Single Jersey berkualitas tinggi sehingga nyaman dikenakan oleh si kecil.. Detail tali pita di bagian kiri. Cocok dikenakan saat bepergian atau bermain. Ideal untuk anak perempuan"
https://img.orami.co.id/media/catalog/product/D/R/DRES-TAKO-011A-TERRA-1.jpg,Takoyakids Lyla Racer Back Dress Terracota,In Stock,cat2,"Yuk, lengkapi koleksi pakaian buah hati Anda dengan mendapatkan Takoyakids Lyla Racel Back Dress Terracota. Pakaian anak berupa dress dan celana bloomers ini terbuat dari bahan Jersey berkualitas tinggi sehingga nyaman dikenakan oleh si kecil.. Detail bukaan kancing belakang. Cocok dikenakan saat bepergian atau bermain. Ideal untuk anak perempuan"
https://img.orami.co.id/media/catalog/product/C/L/CLOT-TAKO-043A-1.jpg,Takoyakids Remi Harem Jumpsuit Olive,In Stock,cat2,"Yuk, lengkapi koleksi pakaian buah hati Anda dengan mendapatkan Takoyakids Remi Harem Jumpsuit Olive. Pakaian anak berupa harem jumpsuit ini terbuat dari bahan Jersey berkualitas tinggi sehingga nyaman dikenakan oleh si kecil.. Jumpsuit kaus tanpa lengan dengan model celana Harem. Terdapat 2 kantong tempel di bagian depan. Ideal untuk anak perempuan"
https://img.orami.co.id/media/catalog/product/C/L/CLOT-TAKO-045A-PINK-1.jpg,Takoyakids Sally Knit Girl Cardigan Pink,In Stock,cat3,Cardigan. Warna Pink. Detail kancing depan. Mungkin terdapat perbedaan warna produk yang terlihat pada monitor dibanding warna sebenarnya
https://img.orami.co.id/media/catalog/product/D/R/DRES-TAKO-006A-MINT-S-1.jpg,Takoyakids Adorable Polkadot Dress Girl Mint,In Stock,cat2,"Pakaian Takoyakids sangat adem dan nyaman untuk dikenakan anak perempuan yang berusia 6 bulan – 3 tahun. Dibuat dengan desain yang trendy dan lucu, membuat Si Kecil tampil lebih stylish, bergaya, dan tetap nyaman saat beraktivitas."
https://img.orami.co.id/media/catalog/product/C/L/CLOT-TAKO-025A-PINK-XS-2.jpg,Takoyakids Betsy Floral Sets Girl Pink,In Stock,cat3,"Pakaian Takoyakids sangat adem dan nyaman untuk dikenakan anak perempuan yang berusia 6 bulan – 3 tahun. Dibuat dengan desain yang trendy dan lucu, membuat Si Kecil tampil lebih stylish, bergaya, dan tetap nyaman saat beraktivitas."
https://img.orami.co.id/media/catalog/product/D/R/DRES-TAKO-007A-PEACH-S-1.jpg,Takoyakids Willow Dress Girl Peach,In Stock,cat2,"Pakaian Takoyakids sangat adem dan nyaman untuk dikenakan anak perempuan yang berusia 6 bulan – 3 tahun. Dibuat dengan desain yang trendy dan lucu, membuat Si Kecil tampil lebih stylish, bergaya, dan tetap nyaman saat beraktivitas."
https://img.orami.co.id/media/catalog/product/P/A/PANT-TAKO-017A-PINK-1.jpg,Takoyakids Zuna Girl Pants Pink,In Stock,cat1,Celana Panjang. Girl. Karet Pinggang. Mungkin terdapat perbedaan warna produk yang terlihat pada monitor dibanding warna sebenarnya
https://img.orami.co.id/media/catalog/product/C/L/CLOT-TAKO-031A-S-1.jpg,Takoyakids Everyday Darling Rabbit Sets Girl Yellow,In Stock,cat1,"Pakaian Takoyakids sangat adem dan nyaman untuk dikenakan anak perempuan yang berusia 6 bulan – 3 tahun. Dibuat dengan desain yang trendy dan lucu, membuat Si Kecil tampil lebih stylish, bergaya, dan tetap nyaman saat beraktivitas."
